run,p,topic,RBP,RBP_res,RBP’,RBP_res’
acsys7al,0.5,351,0.9871852737017552,1.880848358672484e-37,0.9871852737017552,1.880848358672484e-37
acsys7al,0.5,352,0.7597612871638455,7.888849794371521e-31,0.7597612871638455,7.888849794371521e-31
acsys7al,0.5,353,0.12498951411211964,1.955120656587022e-40,0.12498951411211964,1.955120656587022e-40
acsys7al,0.5,354,0.9653996972400936,5.698933061457595e-45,0.9653996972400936,5.698933061457595e-45
acsys7al,0.5,355,0.8598642349243164,1.0229478927385627e-43,0.8598642349243164,1.0229478927385627e-43
acsys7al,0.5,356,0.00781346886697154,1.2356521741945753e-34,0.00781346886697154,1.2356521741945753e-34
acsys7al,0.5,357,0.9667633846237957,1.4122676585134183e-45,0.9667633846237957,1.4122676585134183e-45
acsys7al,0.5,358,0.901348415776742,3.94120538620775e-46,0.901348415776742,3.94120538620775e-46
acsys7al,0.5,359,0.187744140625,1.2225141428268323e-35,0.187744140625,1.2225141428268323e-35
acsys7al,0.5,360,0.7718351343865493,2.095547196901985e-31,0.7718351343865493,2.095547196901985e-31
acsys7al,0.5,361,0.5899124145507812,4.0475091972239395e-33,0.5899124145507812,4.0475091972239395e-33
acsys7al,0.5,362,0.37085308879989043,1.5559630302834538e-61,0.37085308879989043,1.5559630302834538e-61
acsys7al,0.5,363,2.8012436814606736e-09,4.176194859522861e-53,2.8012436814606736e-09,4.176194859522861e-53
acsys7al,0.5,364,0.6872579661434781,3.0167189438314975e-36,0.6872579661434781,3.0167189438314975e-36
acsys7al,0.5,365,0.9999998493503881,7.576876848542859e-40,0.9999998493503881,7.576876848542859e-40
acsys7al,0.5,366,0.7499289593496652,5.739723983748781e-42,0.7499289593496652,5.739723983748781e-42
acsys7al,0.5,367,0.9979828696260724,2.9789562782052026e-67,0.9979828696260724,2.9789562782052026e-67
acsys7al,0.5,368,0.9997558517209262,1.5516554185991327e-36,0.9997558517209262,1.5516554185991327e-36
acsys7al,0.5,369,0.7568368986267302,2.0955322685846456e-31,0.7568368986267302,2.0215794496343746e-28
acsys7al,0.5,370,0.48320022380196337,1.2038537350138057e-35,0.48320022380196337,1.2038537350138057e-35
acsys7al,0.5,371,0.1264648442156613,4.930531120908231e-32,0.1264648442156613,4.930531120908231e-32
acsys7al,0.5,372,0.8897629122111548,8.968857621510083e-44,0.8897629122111548,8.968857621510083e-44
acsys7al,0.5,373,0.8242688179609581,1.0833398699486812e-34,0.8242688179609581,1.0833398699486812e-34
acsys7al,0.5,374,0.2671092391442514,2.189528850524457e-47,0.2671092391442514,2.189528850524457e-47
acsys7al,0.5,375,0.9161336496567337,1.5105102408066394e-36,0.9161336496567337,1.5105102408066394e-36
acsys7al,0.5,376,0.4570617973805611,7.703732355560683e-33,0.4570617973805611,7.703732355560683e-33
acsys7al,0.5,377,0.9259110721833974,1.4012991742983453e-45,0.9259110721833974,1.4012991742983453e-45
acsys7al,0.5,378,0.12890625093223207,3.889384606619701e-62,0.12890625093223207,3.889384606619701e-62
acsys7al,0.5,379,0.7116184234619283,6.139042295782719e-36,0.7116184234619283,6.139042295782719e-36
acsys7al,0.5,380,0.3789063100703061,9.245991881460128e-33,0.3789063100703061,9.245991881460128e-33
acsys7al,0.5,381,0.5000000298023224,2.571875284344428e-60,0.5000000298023224,2.571875284344428e-60
acsys7al,0.5,382,0.990542605519295,8.977068353935407e-44,0.990542605519295,8.977068353935407e-44
acsys7al,0.5,383,5.972151484457522e-08,1.232745627684754e-32,5.972151484457522e-08,1.232745627684754e-32
acsys7al,0.5,384,0.019943267343593127,1.8367134426563945e-40,0.019943267343593127,1.8367134426563945e-40
acsys7al,0.5,385,0.6717348121312631,4.591774944745379e-41,0.6717348121312631,4.591774944745379e-41
acsys7al,0.5,386,0.00391007959842682,3.7005421012332355e-32,0.00391007959842682,3.7005421012332355e-32
acsys7al,0.5,387,0.8283996582031252,4.70226438921578e-38,0.8283996582031252,4.70226438921578e-38
acsys7al,0.5,388,0.4006707786320476,2.407413578427747e-35,0.4006707786320476,2.407413578427747e-35
acsys7al,0.5,389,0.0004882831126451492,9.860761315570723e-32,0.0004882831126451492,9.860761315570723e-32
acsys7al,0.5,390,0.9975379854520288,9.860762932145853e-32,0.9975379854520288,9.860762932145853e-32
acsys7al,0.5,391,1.526158325937388e-05,5.915849234780385e-31,1.526158325937388e-05,5.684341886080802e-14
acsys7al,0.5,392,0.4754837969677629,1.1479787435254644e-41,0.4754837969677629,1.1479787435254644e-41
acsys7al,0.5,393,0.9965858459927424,1.435280155256575e-42,0.9965858459927424,1.435280155256575e-42
acsys7al,0.5,394,0.5000009536743164,6.463902375856668e-33,0.5000009536743164,6.463902375856668e-33
acsys7al,0.5,395,0.5082610114525057,2.0392354339998595e-56,0.5082610114525057,2.0392354339998595e-56
acsys7al,0.5,396,0.9999257329618846,3.032821389813774e-36,0.9999257329618846,3.032821389813774e-36
acsys7al,0.5,397,0.0019531268626451492,2.166972407898925e-32,0.0019531268626451492,2.166972407898925e-32
acsys7al,0.5,398,0.9675226226118565,3.945387863535501e-31,0.9675226226118565,3.945387863535501e-31
acsys7al,0.5,399,0.9765636984084838,3.7882143265548606e-40,0.9765636984084838,6.776263578034403e-21
acsys7al,0.5,400,0.9863141812070972,7.3473161358411e-40,0.9863141812070972,7.3473161358411e-40
acsys7al,0.8,351,0.8335411739099727,3.894852723309816e-13,0.8335411739099727,3.894852723309816e-13
acsys7al,0.8,352,0.537015953608508,5.275009912134723e-11,0.537015953608508,5.275009912134723e-11
acsys7al,0.8,353,0.4925870484785453,6.416442231979419e-14,0.4925870484785453,6.416442231979419e-14
acsys7al,0.8,354,0.8002928943533949,2.0233860420482882e-15,0.8002928943533949,2.0233860420482882e-15
acsys7al,0.8,355,0.6342134643328718,6.16288090803279e-15,0.6342134643328718,6.16288090803279e-15
acsys7al,0.8,356,0.056421695177160225,6.686446708044762e-12,0.056421695177160225,6.686446708044762e-12
acsys7al,0.8,357,0.865604796800903,1.1322933450324134e-15,0.865604796800903,1.1322933450324134e-15
acsys7al,0.8,358,0.7254425747729,8.95553999916725e-16,0.7254425747729,8.95553999916725e-16
acsys7al,0.8,359,0.24758070117582917,1.8141337371487594e-12,0.24758070117582917,1.8141337371487594e-12
acsys7al,0.8,360,0.5609449630732065,4.813975949905466e-11,0.5609449630732065,4.813975949905466e-11
acsys7al,0.8,361,0.47893245581197313,1.870376233608107e-11,0.47893245581197313,1.870376233608107e-11
acsys7al,0.8,362,0.5730342119457332,7.36603879531452e-21,0.5730342119457332,7.36603879531452e-21
acsys7al,0.8,363,0.0007612673541934703,3.432928953232464e-18,0.0007612673541934703,3.432928953232464e-18
acsys7al,0.8,364,0.6769839093283009,1.1869232194788045e-12,0.6769839093283009,1.1869232194788045e-12
acsys7al,0.8,365,0.9966274158743257,8.647437337022524e-14,0.9966274158743257,8.647437337022524e-14
acsys7al,0.8,366,0.811937523023181,1.3379495018194761e-14,0.811937523023181,1.3379495018194761e-14
acsys7al,0.8,367,0.9445979504552771,1.1209706208243865e-22,0.9445979504552771,1.1209706208243865e-22
acsys7al,0.8,368,0.9815612079830849,9.868573562543067e-13,0.9815612079830849,9.868573562543067e-13
acsys7al,0.8,369,0.46587962093514523,4.75690981979197e-11,0.46587962093514523,3.5111111260819154e-10
acsys7al,0.8,370,0.6581222773740236,1.5299005243070323e-12,0.6581222773740236,1.5299005243070323e-12
acsys7al,0.8,371,0.1765659718971085,2.159340892226106e-11,0.1765659718971085,2.159340892226106e-11
acsys7al,0.8,372,0.6770107058107802,3.630598433724613e-15,0.6770107058107802,3.630598433724613e-15
acsys7al,0.8,373,0.5796040115161256,4.339766434170867e-12,0.5796040115161256,4.33976643417356e-12
acsys7al,0.8,374,0.29070222662135997,2.3826545610665323e-16,0.29070222662135997,2.3826545610665323e-16
acsys7al,0.8,375,0.699773239202175,8.570522366523658e-13,0.699773239202175,8.570522366523658e-13
acsys7al,0.8,376,0.5076372192236195,1.783187372771705e-11,0.5076372192236195,1.783187372771705e-11
acsys7al,0.8,377,0.6992952848132673,9.206973421714659e-16,0.6992952848132673,9.206973421714659e-16
acsys7al,0.8,378,0.17028582247575177,4.262311273411692e-21,0.17028582247575177,4.262311273411692e-21
acsys7al,0.8,379,0.6038198390032904,1.7630551959544612e-12,0.6038198390032904,1.7630551959544612e-12
acsys7al,0.8,380,0.3313726811562858,2.016500487843033e-11,0.3313726811562858,2.016500487843033e-11
acsys7al,0.8,381,0.20094452531150986,2.4301472269983457e-20,0.20094452531150986,2.4301472269983457e-20
acsys7al,0.8,382,0.8514278344996352,3.847729158314626e-15,0.8514278344996352,3.847729158314626e-15
acsys7al,0.8,383,0.0013657132599475318,1.408450447919777e-11,0.0013657132599475318,1.408450447919777e-11
acsys7al,0.8,384,0.15545293303485952,4.111659956232092e-14,0.15545293303485952,4.111659956232092e-14
acsys7al,0.8,385,0.6371034323404352,2.592184121750252e-14,0.6371034323404352,2.592184121750252e-14
acsys7al,0.8,386,0.04720260138851709,3.374768457384628e-11,0.04720260138851709,3.374768457384628e-11
acsys7al,0.8,387,0.5539146324725126,2.510982695192393e-13,0.5539146324725126,2.510982695192393e-13
acsys7al,0.8,388,0.4787086854513113,1.8083448173389245e-12,0.4787086854513113,1.8083448173389245e-12
acsys7al,0.8,389,0.021861713804735023,2.609449198828067e-11,0.021861713804735023,2.609449198828067e-11
acsys7al,0.8,390,0.923212948498418,2.6421777123518576e-11,0.923212948498418,2.6421777123518576e-11
acsys7al,0.8,391,0.007758943489076504,1.6644405302238741e-10,0.007758943489076504,1.3611461120890597e-05
acsys7al,0.8,392,0.6198742123536104,1.716831170318284e-14,0.6198742123536104,1.716831170318284e-14
acsys7al,0.8,393,0.8584378537243703,9.142539537967672e-15,0.8584378537243703,9.142539537967672e-15
acsys7al,0.8,394,0.20288230376151706,1.8415137287409953e-11,0.20288230376151706,1.8415137287409953e-11
acsys7al,0.8,395,0.3137274968209816,3.1197343031217236e-19,0.3137274968209816,3.1197343031217236e-19
acsys7al,0.8,396,0.9663078920987684,1.1401244780303733e-12,0.9663078920987684,1.1401244780303733e-12
acsys7al,0.8,397,0.03394128826227669,3.6395613434658835e-11,0.03394128826227669,3.6395613434658835e-11
acsys7al,0.8,398,0.8551687753383886,4.501514674374587e-11,0.8551687753383886,4.501514674374587e-11
acsys7al,0.8,399,0.7309093740330302,6.721731006518752e-14,0.7309093740330302,8.034696943025987e-08
acsys7al,0.8,400,0.8518453864734663,6.701202833896438e-14,0.8518453864734663,6.701202833896438e-14
acsys7al,0.9,351,0.6741462899988364,3.839498613104836e-07,0.6741462899988364,3.839498613104836e-07
acsys7al,0.9,352,0.5571432907745731,3.6634138904182985e-06,0.5571432907745731,3.6634138904182985e-06
acsys7al,0.9,353,0.6049886375093062,2.5935095901033014e-07,0.6049886375093062,2.5935095901033014e-07
acsys7al,0.9,354,0.6868157937744562,4.591166288357072e-08,0.6868157937744562,4.591166288357072e-08
acsys7al,0.9,355,0.4363129190720567,7.540526672752607e-08,0.4363129190720567,7.540526672752607e-08
acsys7al,0.9,356,0.08287819324903448,3.367957259615696e-06,0.08287819324903448,3.367957259615696e-06
acsys7al,0.9,357,0.8006023499010725,3.2432954362815084e-08,0.8006023499010725,3.2432954362815084e-08
acsys7al,0.9,358,0.6345804464368867,2.627013294470572e-08,0.6345804464368867,2.627013294470572e-08
acsys7al,0.9,359,0.1857794726190335,8.8951811384771e-07,0.1857794726190335,8.8951811384771e-07
acsys7al,0.9,360,0.533074871851709,5.060230663771867e-06,0.533074871851709,5.060230663771867e-06
acsys7al,0.9,361,0.37687165017180835,3.962398778037743e-06,0.37687165017180835,3.962398778037743e-06
acsys7al,0.9,362,0.5565954187563138,1.119251943816366e-10,0.5565954187563138,1.119251943816366e-10
acsys7al,0.9,363,0.012269097036157825,1.2436546692709988e-09,0.012269097036157825,1.2436546692709988e-09
acsys7al,0.9,364,0.615578906301319,1.0692653426270474e-06,0.615578906301319,1.0692653426270474e-06
acsys7al,0.9,365,0.9526239784755063,2.2880645352629904e-07,0.9526239784755063,2.2880645352629904e-07
acsys7al,0.9,366,0.7730991037794923,7.050081964027703e-08,0.7730991037794923,7.050081964027703e-08
acsys7al,0.9,367,0.8402870077912811,1.2972930927862595e-11,0.8402870077912811,1.2972930927862595e-11
