topic,relevant num,rbo,p
301,448,0.93977,0.997
302,65,0.827529,0.983
303,10,0.828412,0.683
304,196,0.886572,0.996
305,35,0.750407,0.994
306,332,0.985608,0.997
307,210,0.808784,0.995
308,4,0.942058,0.867
309,3,0.871256,0.961
310,13,0.891866,0.892
311,182,0.95688,0.995
312,11,0.993606,0.897
313,93,0.930218,0.994
314,44,0.894583,0.985
315,67,0.80886,0.964
316,34,0.938967,0.963
317,14,0.928034,0.928
318,113,0.886418,0.992
319,170,0.978412,0.988
320,6,0.988335,0.859
321,203,0.933117,0.982
322,34,0.926104,0.976
323,61,0.947079,0.958
324,161,0.981872,0.99
325,24,0.836195,0.917
326,46,0.952417,0.976
327,11,0.856221,0.838
328,8,0.936666,0.899
329,35,0.913006,0.969
330,60,0.92892,0.969
331,213,0.991167,0.994
332,254,0.944131,0.994
333,65,0.905431,0.987
334,9,0.982436,0.876
335,66,0.939334,0.978
336,12,0.934905,0.901
337,93,0.714199,0.989
338,4,0.927777,0.622
339,10,0.900716,0.82
340,69,0.900693,0.946
341,78,0.89543,0.989
342,20,0.836577,0.929
343,258,0.958546,0.997
344,5,0.92021,0.779
345,38,0.846785,0.983
346,105,0.93123,0.994
347,152,0.949347,0.998
348,5,0.999013,0.818
349,73,0.650284,0.983
350,68,0.984057,0.984
351,48,0.908229,0.973
352,246,0.876519,0.997
353,122,0.944414,0.99
354,361,0.954784,0.996
355,45,0.83985,0.991
356,17,0.860628,0.984
357,270,0.944446,0.993
358,51,0.946288,0.966
359,28,0.867176,0.984
360,151,0.798138,0.994
361,9,0.982827,0.893
362,39,0.848962,0.976
363,16,0.860113,0.86
364,35,0.915117,0.971
365,35,0.955484,0.979
366,99,0.771466,0.986
367,189,0.946117,0.992
368,61,0.990158,0.986
369,13,0.912837,0.913
370,336,0.956625,0.997
371,17,0.758397,0.872
372,49,0.985423,0.94
373,33,0.77472,0.978
374,204,0.930843,0.995
375,80,0.884271,0.98
376,102,0.875448,0.981
377,39,0.818296,0.985
378,98,0.914889,0.984
379,16,0.899397,0.95
380,7,0.83788,0.677
381,28,0.824153,0.962
382,22,0.949413,0.931
383,146,0.794534,0.994
384,51,0.752674,0.986
385,86,0.968802,0.983
386,19,0.825725,0.969
387,85,0.96193,0.984
388,51,0.950684,0.976
389,194,0.916282,0.962
390,134,0.977633,0.982
391,178,0.907964,0.994
392,105,0.855151,0.972
393,71,0.954674,0.955
394,17,0.995098,0.814
395,213,0.92325,0.996
396,59,0.837228,0.989
397,27,0.882938,0.951
398,145,0.876548,0.994
399,102,0.913629,0.996
400,125,0.955567,0.991
401,300,0.931142,0.991
402,80,0.955356,0.991
403,21,0.950124,0.952
404,142,0.819038,0.995
405,38,0.698376,0.976
406,13,0.842474,0.973
407,68,0.846544,0.984
408,118,0.654674,0.992
409,22,0.875957,0.894
410,65,0.897257,0.972
