topic,relevant num,rbo,p
411,27,0.887282,0.963
412,123,0.871434,0.993
413,69,0.93897,0.982
414,39,0.942233,0.987
415,136,0.995724,0.994
416,42,0.869467,0.997
417,75,0.93965,0.991
418,116,0.966067,0.982
419,16,0.874648,0.845
420,33,0.941285,0.94
421,83,0.935382,0.977
422,152,0.693305,0.991
423,21,0.841614,0.92
424,171,0.840879,0.995
425,162,0.970874,0.996
426,202,0.90014,0.983
427,50,0.848202,0.991
428,118,0.939128,0.994
429,11,0.93567,0.908
430,6,0.945496,0.765
431,130,0.842787,0.986
432,28,0.936787,0.986
433,13,0.906453,0.825
434,347,0.91727,0.994
435,117,0.812187,0.921
436,180,0.929307,0.988
437,72,0.902834,0.998
438,173,0.868233,0.992
439,219,0.943159,0.994
440,54,0.866057,0.964
441,17,0.830595,0.978
442,94,0.885195,0.998
443,102,0.82289,0.963
444,17,0.981737,0.951
445,62,0.8391,0.998
446,162,0.947023,0.986
447,16,0.970084,0.934
448,46,0.763335,0.997
449,67,0.734004,0.994
450,293,0.865303,0.996
601,7,0.737061,0.856
602,88,0.572863,0.975
603,25,0.805565,0.917
604,13,0.798858,0.936
605,72,0.984352,0.994
606,18,0.801878,0.992
607,11,0.947247,0.874
608,30,0.806014,0.979
609,41,0.873968,0.976
610,6,0.857405,0.928
611,69,0.904838,0.964
612,28,0.850666,0.919
613,79,0.944579,0.976
614,34,0.95156,0.983
615,14,0.869248,0.957
616,47,0.872912,0.981
617,75,0.867659,0.963
618,28,0.803654,0.986
619,29,0.825277,0.969
620,13,0.980305,0.963
621,65,0.892039,0.99
622,65,0.984965,0.981
623,42,0.957544,0.98
624,23,0.560736,0.974
625,40,0.923806,0.977
626,22,0.855868,0.9
627,28,0.917683,0.987
628,31,0.892288,0.87
629,25,0.639915,0.982
630,6,0.895488,0.84
631,138,0.728976,0.989
632,76,0.909122,0.986
633,49,0.829399,0.977
634,22,0.991019,0.896
635,19,0.973803,0.921
636,17,0.845057,0.91
637,28,0.833357,0.979
638,41,0.838562,0.991
639,32,0.900922,0.952
640,65,0.744956,0.848
641,71,0.858763,0.934
642,69,0.63105,0.978
643,35,0.67861,0.896
644,72,0.8859,0.952
645,41,0.918448,0.984
646,14,0.893213,0.936
647,42,0.96717,0.976
648,86,0.790479,0.997
649,37,0.895692,0.976
650,37,0.97178,0.924
651,45,0.872643,0.958
652,125,0.952483,0.987
653,129,0.779202,0.998
654,57,0.962844,0.982
655,11,0.9766,0.895
656,167,0.930208,0.994
657,25,0.890931,0.943
658,77,0.765847,0.995
659,19,0.877723,0.882
660,37,0.965875,0.968
661,42,0.975389,0.966
662,37,0.5475,0.99
663,37,0.892771,0.834
664,16,0.904853,0.946
665,20,0.812904,0.94
666,3,0.940569,0.969
667,41,0.943232,0.963
668,44,0.79777,0.98
669,26,0.844692,0.934
670,25,0.961728,0.862
671,75,0.893155,0.983
673,27,0.929231,0.951
674,20,0.976406,0.922
675,25,0.870109,0.922
676,72,0.884283,0.921
677,10,0.838963,0.969
678,27,0.923128,0.935
679,6,0.999934,0.814
680,25,0.961849,0.953
681,58,0.944574,0.977
682,46,0.793146,0.936
683,176,0.96026,0.985
684,56,0.767321,0.998
685,17,0.894036,0.972
686,37,0.72137,0.978
687,107,0.747557,0.998
688,264,0.913579,0.986
689,30,0.866005,0.953
690,14,0.799569,0.622
691,21,0.849253,0.98
692,35,0.782552,0.948
693,31,0.825174,0.955
694,89,0.79512,0.992
695,93,0.917474,0.988
696,31,0.98483,0.954
697,57,0.778801,0.991
698,17,0.806055,0.83
699,71,0.914421,0.983
700,166,0.976959,0.995
