topic,relevant num,rbo,p
401,300,0.982387,0.994
402,80,0.869126,0.979
403,21,0.951242,0.962
404,142,0.90142,0.984
405,38,0.905844,0.961
406,13,0.871009,0.895
407,68,0.937943,0.988
408,118,0.823727,0.982
409,22,0.813115,0.894
410,65,0.888256,0.988
411,27,0.929463,0.968
412,123,0.915892,0.984
413,69,0.948493,0.979
414,39,0.949441,0.968
415,136,0.967131,0.99
416,42,0.923855,0.971
417,75,0.867779,0.958
418,116,0.828909,0.99
419,16,0.956046,0.914
420,33,0.905632,0.95
421,83,0.825826,0.989
422,152,0.954406,0.989
423,21,0.776195,0.96
424,171,0.820253,0.993
425,162,0.906562,0.991
426,202,0.968278,0.995
427,50,0.901407,0.984
428,118,0.912472,0.992
429,11,0.970321,0.897
430,6,0.972572,0.769
431,130,0.709958,0.996
432,28,0.909501,0.905
433,13,0.915384,0.786
434,347,0.9708,0.997
435,117,0.9795,0.991
436,180,0.975041,0.991
437,72,0.878676,0.991
438,173,0.904929,0.993
439,219,0.897885,0.983
440,54,0.853999,0.974
441,17,0.780741,0.931
442,94,0.96852,0.989
443,102,0.906793,0.989
444,17,0.985123,0.944
445,62,0.963391,0.983
446,162,0.968572,0.995
447,16,0.988252,0.95
448,46,0.931444,0.946
449,67,0.829123,0.987
450,293,0.957006,0.998
